kompresor-rotary	rotary compressor for split air conditioner product photo
kompresor-scroll	scroll compressor HVAC product photo
kompresor-kulkas	refrigerator compressor hermetic product photo
kompresor-mobil	car air conditioning compressor auto spare part
kompresor-industri	semi hermetic reciprocating refrigeration compressor industrial
kompresor-angin	portable piston air compressor with tank product
motor-fan	HVAC electric fan motor blower product photo
motor-outdoor	air conditioner outdoor condenser fan motor
kapasitor	air conditioner run capacitor product photo
termostat	digital thermostat temperature controller air conditioner
freon	refrigerant gas cylinder product photo
fitting-tembaga	copper refrigeration pipe fittings flare nuts
filter-dryer	refrigeration filter dryer copper part product
relay-overload	compressor overload relay protector spare part
oli	air compressor oil lubricant bottle product
evaporator	air conditioner evaporator coil part
kondensor	air conditioner condenser coil part
manifold	refrigeration manifold gauge set tool product
